Provenience,ID,element,length_value,depth_value,"length_dimension[Todd, 1987b]","depth_dimension[Todd, 1987b]",source
Uppert Tucker Site,1,radius,129.22,14.61,RD13,RD6,"Breslawski & Playford, 2018"
Uppert Tucker Site,2,tibia,172.64,18.71,TA3,TA9,"Breslawski & Playford, 2018"
Uppert Tucker Site,3,humerus,138.06,25.19,HM17,HM10,"Breslawski & Playford, 2018"
Uppert Tucker Site,31,humerus,129.43,21.19,HM17,HM10,"Breslawski & Playford, 2018"
Uppert Tucker Site,77,tibia,160.52,16.99,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,287,radius,61.3,7.7,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,492,humerus,92,17.1,HM17,HM10,"Breslawski & Playford, 2018"
Baker Cave III,499,radius,72,9.1,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,705,radius,38.4,4.7,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,1011,radius,56.7,6.8,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,1568,tibia,34.3,4.4,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,1995,radius,80.6,9.7,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,2345,femur,44,7.1,FM4,FM17,"Breslawski & Playford, 2018"
Baker Cave III,2542,tibia,69.2,8.5,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,3721,tibia,86,11.8,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,3859,tibia,67.1,8.9,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,4493,tibia,57.9,8,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,5277,femur,63.8,9.9,FM4,FM17,"Breslawski & Playford, 2018"
Baker Cave III,5317,femur,37.2,6.6,FM4,FM17,"Breslawski & Playford, 2018"
Baker Cave III,5446,radius,35.5,4.1,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,5494,humerus,90.4,16.8,HM17,HM10,"Breslawski & Playford, 2018"
Baker Cave III,5546,radius,62.1,8.2,RD13,RD6,"Breslawski & Playford, 2018"
Baker Cave III,5684,tibia,43.3,4.9,TA3,TA9,"Breslawski & Playford, 2018"
Baker Cave III,5685,radius,36.1,4.2,RD13,RD6,"Breslawski & Playford, 2018"
Roberts Ranch,7097.1,humerus,54.32,10.49,HM17,HM10,"Johnston, 2016"
Roberts Ranch,7098.1,femur,55.45,10.01,FM4,FM17,"Johnston, 2016"
Roberts Ranch,7100.4,femur,47.45,7.11,FM4,FM17,"Johnston, 2016"
Roberts Ranch,7101.1,radius,60,7.47,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7103.1,tibia,72.45,10.86,TA3,TA9,"Johnston, 2016"
Roberts Ranch,7103.11,tibia,33.16,4.92,TA3,TA9,"Johnston, 2016"
Roberts Ranch,7103.14,humerus,25.76,6.06,HM17,HM10,"Johnston, 2016"
Roberts Ranch,7105.1,tibia,64.28,7.91,TA3,TA9,"Johnston, 2016"
Roberts Ranch,7106.1,femur,60.81,10.14,FM4,FM17,"Johnston, 2016"
Roberts Ranch,7112.1,radius,43.14,5.73,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7114.1,radius,60.25,8.22,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7114.2,radius,62.87,7.4,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7116.3,femur,62.1,11.34,FM4,FM17,"Johnston, 2016"
Roberts Ranch,7123.4,humerus,31.19,6.51,HM17,HM10,"Johnston, 2016"
Roberts Ranch,7126.3,radius,59.18,7.17,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7126.6,femur,50.13,8.65,FM4,FM17,"Johnston, 2016"
Roberts Ranch,7127.11,radius,50.66,7.25,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7127.2,tibia,70.48,10.04,TA3,TA9,"Johnston, 2016"
Roberts Ranch,7127.3,radius,41.73,5.59,RD13,RD6,"Johnston, 2016"
Roberts Ranch,7132.1,tibia,75.28,10.21,TA3,TA9,"Johnston, 2016"
Roberts Ranch,7095.1REV,radius,62.66,8.11,RD13,RD6,"Johnston, 2016"
University of Wyoming Archaeological Repository,8206Ba,radius,140.15,15.73,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,radius,141.57,17.03,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,humerus,148.1,23.26,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,humerus,151,23.95,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,femur,159.35,21.93,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,femur,159.62,21.66,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,tibia,178,20.34,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Ba,tibia,180,20,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,radius,122.17,14.86,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,radius,122.77,15.53,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,humerus,130.61,20.31,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,humerus,130.96,20.08,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,femur,147.03,20.33,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,femur,147.72,20.12,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,tibia,161,18.26,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8206Bb,tibia,163,18.14,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,humerus,130.15,19.92,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,radius,130.17,13.66,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,radius,130.25,13.83,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,humerus,131.19,20.04,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,femur,152,19.98,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,femur,153,19.18,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,tibia,170,17.96,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8213B,tibia,172,17.97,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,humerus,88.7,14.23,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,humerus,88.92,14.59,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,radius,90.13,10.97,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,radius,90.3,10.9,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,femur,102.96,15.32,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,femur,103.66,15.4,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,tibia,116.05,14.04,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8219B,tibia,116.95,13.99,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,radius,107.75,13.27,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,radius,107.94,13.23,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,humerus,110.28,17.34,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,humerus,111.11,17.39,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,femur,124.06,16.6,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,femur,125.3,17.12,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,tibia,138.77,15.54,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8221B,tibia,139.01,15.37,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,radius,116.53,13.09,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,radius,117.55,13.06,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,humerus,120.65,17.88,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,humerus,120.8,18.5,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,femur,137.04,18.87,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,femur,138,18.74,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,tibia,149.34,17.61,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8229B,tibia,151,17.49,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,radius,117.65,11.15,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,radius,118.42,11.2,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,humerus,119.47,15.94,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,humerus,120.11,16.18,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,femur,136.21,16.61,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,femur,136.64,16.42,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,tibia,144.2,13.68,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8232B,tibia,145.41,13.37,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,radius,139.11,16.34,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,radius,139.61,16.48,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,humerus,144.63,24.25,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,humerus,144.98,22.88,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,femur,158,23.07,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,femur,159,22.72,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,tibia,170,19.06,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8234B,tibia,171,19.22,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,humerus,132.79,19.84,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,radius,134.1,14.1,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,humerus,134.29,20.25,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,radius,134.37,14.63,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,femur,155,19.4,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,femur,155,20.41,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,tibia,157,17.2,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8235B,tibia,163,17.4,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,radius,132.23,16.35,RD13,RD6,"Breslawski & Playford, 2018"
