element,side,sex,form,metric_value,"dimension[Todd, 1987b]",source
tibia,r,female,modern,382,TA1,Todd 1983
tibia,l,female,modern,381,TA1,Todd 1983
tibia,r,female,modern,375,TA1,Todd 1983
tibia,r,female,modern,388,TA1,Todd 1983
tibia,r,male,antiq,421,TA1,Todd 1983
tibia,r,male,antiq,435,TA1,Todd 1983
tibia,l,male,antiq,421,TA1,Todd 1983
tibia,l,male,antiq,435,TA1,Todd 1983
tibia,r,male,antiq,443,TA1,Todd 1983
tibia,l,female,antiq,399,TA1,Todd 1983
tibia,l,female,antiq,370,TA1,Todd 1983
tibia,r,female,antiq,397,TA1,Todd 1983
tibia,r,female,antiq,389,TA1,Todd 1983
tibia,r,female,antiq,385,TA1,Todd 1983
tibia,l,female,antiq,386,TA1,Todd 1983
tibia,r,female,antiq,376,TA1,Todd 1983
tibia,l,female,antiq,371,TA1,Todd 1983
tibia,l,female,antiq,399,TA1,Todd 1983
humerus,r,female,antiq,317,HM2,Haspel and Frison 1987
humerus,l,male,antiq,353,HM2,Haspel and Frison 1987
humerus,r,female,antiq,307,HM2,Haspel and Frison 1987
humerus,r,male,antiq,353,HM2,Haspel and Frison 1987
humerus,l,male,antiq,360,HM2,Haspel and Frison 1987
humerus,r,male,antiq,352,HM2,Haspel and Frison 1987
humerus,r,male,antiq,363,HM2,Haspel and Frison 1987
humerus,l,female,antiq,312,HM2,Haspel and Frison 1987
humerus,l,male,antiq,356,HM2,Haspel and Frison 1987
tibia,l,male,antiq,453,TA1,Haspel and Frison 1987
tibia,r,male,antiq,437,TA1,Haspel and Frison 1987
tibia,r,male,antiq,439,TA1,Haspel and Frison 1987
tibia,l,male,antiq,439,TA1,Haspel and Frison 1987
tibia,l,male,antiq,436,TA1,Haspel and Frison 1987
tibia,r,male,antiq,445,TA1,Haspel and Frison 1987
tibia,r,male,antiq,432,TA1,Haspel and Frison 1987
tibia,r,female,antiq,395,TA1,Haspel and Frison 1987
tibia,r,female,antiq,396,TA1,Haspel and Frison 1987
tibia,l,male,antiq,461,TA1,Haspel and Frison 1987
tibia,r,male,antiq,466,TA1,Haspel and Frison 1987
radius,r,male,antiq,382,RA2,Haspel and Frison 1987
radius,r,male,antiq,358,RA2,Haspel and Frison 1987
radius,r,male,antiq,355,RA2,Haspel and Frison 1987
radius,l,female,antiq,316,RA2,Haspel and Frison 1987
radius,l,male,antiq,374,RA2,Haspel and Frison 1987
radius,l,male,antiq,348,RA2,Haspel and Frison 1987
radius,r,female,antiq,325,RA2,Haspel and Frison 1987
radius,l,male,antiq,362,RA2,Haspel and Frison 1987
radius,r,male,antiq,382,RA2,Haspel and Frison 1987
radius,r,male,antiq,370,RA2,Haspel and Frison 1987
radius,r,male,antiq,343,RA2,Haspel and Frison 1987
radius,l,male,antiq,371,RA2,Haspel and Frison 1987
radius,l,unsexed,antiq,337,RA2,Haspel and Frison 1987
radius,l,male,antiq,368,RA2,Haspel and Frison 1987
radius,r,male,antiq,347,RA2,Haspel and Frison 1987
radius,r,male,antiq,346,RA2,Haspel and Frison 1987
radius,l,male,antiq,346,RA2,Haspel and Frison 1987
radius,l,unsexed,antiq,338,RA2,Haspel and Frison 1987
radius,r,unsexed,antiq,335,RA2,Haspel and Frison 1987
radius,l,male,antiq,351,RA2,Haspel and Frison 1987
radius,r,female,antiq,324,RA2,Haspel and Frison 1987
radius,l,female,antiq,325,RA2,Haspel and Frison 1987
radius,r,male,antiq,345,RA2,Haspel and Frison 1987
radius,r,male,antiq,340,RA2,Haspel and Frison 1987
radius,l,male,antiq,353,RA2,Haspel and Frison 1987
radius,l,male,antiq,366,RA2,Haspel and Frison 1987
radius,l,female,antiq,332,RA2,Haspel and Frison 1987
radius,l,male,antiq,368,RA2,Haspel and Frison 1987
radius,l,male,antiq,375,RA2,Haspel and Frison 1987
radius,r,male,antiq,354,RA2,Haspel and Frison 1987
radius,r,male,antiq,359,RA2,Haspel and Frison 1987
radius,r,male,antiq,366,RA2,Haspel and Frison 1987
radius,l,male,antiq,360,RA2,Haspel and Frison 1987
radius,l,female,antiq,320,RA2,Haspel and Frison 1987
radius,r,male,antiq,368,RA2,Todd 1983
radius,l,male,antiq,353,RA2,Todd 1983
radius,l,male,antiq,346,RA2,Todd 1983
radius,r,male,antiq,362,RA2,Todd 1983
radius,l,male,antiq,362,RA2,Todd 1983
radius,l,male,antiq,365,RA2,Todd 1983
radius,r,male,antiq,355,RA2,Todd 1983
radius,r,male,antiq,349,RA2,Todd 1983
radius,r,male,antiq,343,RA2,Todd 1983
radius,r,male,antiq,359,RA2,Todd 1983
radius,r,male,antiq,339,RA2,Todd 1983
radius,l,male,antiq,354,RA2,Todd 1983
radius,l,male,antiq,350,RA2,Todd 1983
radius,l,male,antiq,344,RA2,Todd 1983
radius,l,male,antiq,361,RA2,Todd 1983
radius,r,male,antiq,351,RA2,Todd 1983
radius,l,female,antiq,320,RA2,Todd 1983
radius,r,female,antiq,327,RA2,Todd 1983
radius,l,female,antiq,304,RA2,Todd 1983
radius,r,female,antiq,323,RA2,Todd 1983
radius,l,female,antiq,329,RA2,Todd 1983
radius,r,female,antiq,330,RA2,Todd 1983
radius,r,female,antiq,333,RA2,Todd 1983
radius,r,female,antiq,325,RA2,Todd 1983
radius,r,female,antiq,311,RA2,Todd 1983
radius,l,female,antiq,313,RA2,Todd 1983
radius,r,female,antiq,305,RA2,Todd 1983
radius,l,female,antiq,332,RA2,Todd 1983
radius,r,female,antiq,319,RA2,Todd 1983
radius,r,female,antiq,318,RA2,Todd 1983
radius,l,female,antiq,312,RA2,Todd 1983
radius,l,female,antiq,320,RA2,Todd 1983
radius,r,female,antiq,327,RA2,Todd 1983
radius,l,female,antiq,316,RA2,Todd 1983
radius,r,female,antiq,322,RA2,Todd 1983
radius,r,male,modern,348,RA2,Todd 1983
radius,l,male,modern,348,RA2,Todd 1983
radius,r,male,modern,339,RA2,Todd 1983
radius,l,male,modern,339,RA2,Todd 1983
radius,r,male,modern,333,RA2,Todd 1983
radius,l,male,modern,334,RA2,Todd 1983
radius,r,male,modern,335,RA2,Todd 1983
radius,l,male,modern,334,RA2,Todd 1983
radius,r,female,modern,313,RA2,Todd 1983
radius,l,female,modern,316,RA2,Todd 1983
radius,r,female,modern,304,RA2,Todd 1983
radius,l,female,modern,303,RA2,Todd 1983
radius,r,female,modern,293,RA2,Todd 1983
radius,l,female,modern,291,RA2,Todd 1983
radius,r,female,modern,300,RA2,Todd 1983
radius,l,female,modern,303,RA2,Todd 1983
radius,r,female,modern,323,RA2,Todd 1983
radius,l,female,modern,323,RA2,Todd 1983
radius,r,female,modern,294,RA2,Todd 1983
radius,l,female,modern,294,RA2,Todd 1983
radius,r,female,modern,306,RA2,Todd 1983
radius,l,female,modern,306,RA2,Todd 1983
radius,r,female,modern,302,RA2,Todd 1983
radius,l,female,modern,303,RA2,Todd 1983
radius,r,female,modern,291,RA2,Todd 1983
radius,l,female,modern,292,RA2,Todd 1983
radius,r,female,modern,298,RA2,Todd 1983
radius,l,female,modern,296,RA2,Todd 1983
radius,r,female,modern,307,RA2,Todd 1983
radius,l,female,modern,307,RA2,Todd 1983
radius,r,female,modern,311,RA2,Todd 1983
radius,r,female,modern,306,RA2,Todd 1983
radius,l,female,modern,306,RA2,Todd 1983
